MSA_FIPS,MSA,MSA_Short_Name,County_FIPS,County,Population,Hospitals,Beds
33860,"Montgomery, AL","Montgomery, AL",01001,"Autauga, AL",55869,1,85
19300,"Daphne-Fairhope-Foley, AL","Daphne-Fairhope-Foley, AL",01003,"Baldwin, AL",223234,4,398
13820,"Birmingham-Hoover, AL",Birmingham,01007,"Bibb, AL",22394,1,35
13820,"Birmingham-Hoover, AL",Birmingham,01009,"Blount, AL",57826,1,40
11500,"Anniston-Oxford, AL","Anniston-Oxford, AL",01015,"Calhoun, AL",113605,4,590
13820,"Birmingham-Hoover, AL",Birmingham,01021,"Chilton, AL",44428,1,26
22520,"Florence-Muscle Shoals, AL","Florence-Muscle Shoals, AL",01033,"Colbert, AL",55241,2,363
33860,"Montgomery, AL","Montgomery, AL",01051,"Elmore, AL",81209,2,138
23460,"Gadsden, AL","Gadsden, AL",01055,"Etowah, AL",102268,4,739
20020,"Dothan, AL","Dothan, AL",01061,"Geneva, AL",26271,1,83
46220,"Tuscaloosa, AL","Tuscaloosa, AL",01063,"Greene, AL",8111,1,20
46220,"Tuscaloosa, AL","Tuscaloosa, AL",01065,"Hale, AL",14651,1,39
20020,"Dothan, AL","Dothan, AL",01067,"Henry, AL",17205,0,0
20020,"Dothan, AL","Dothan, AL",01069,"Houston, AL",105882,5,782
13820,"Birmingham-Hoover, AL",Birmingham,01073,"Jefferson, AL",658573,14,5003
22520,"Florence-Muscle Shoals, AL","Florence-Muscle Shoals, AL",01077,"Lauderdale, AL",92729,1,358
19460,"Decatur, AL","Decatur, AL",01079,"Lawrence, AL",32924,1,98
12220,"Auburn-Opelika, AL","Auburn-Opelika, AL",01081,"Lee, AL",164542,1,314
26620,"Huntsville, AL","Huntsville, AL",01083,"Limestone, AL",98915,2,102
33860,"Montgomery, AL","Montgomery, AL",01085,"Lowndes, AL",9726,0,0
26620,"Huntsville, AL","Huntsville, AL",01089,"Madison, AL",372909,7,1332
33660,"Mobile, AL","Mobile, AL",01097,"Mobile, AL",413210,7,1929
33860,"Montgomery, AL","Montgomery, AL",01101,"Montgomery, AL",226486,8,1297
19460,"Decatur, AL","Decatur, AL",01103,"Morgan, AL",119679,4,476
46220,"Tuscaloosa, AL","Tuscaloosa, AL",01107,"Pickens, AL",19930,1,56
17980,"Columbus, GA-AL","Columbus, GA-AL",01113,"Russell, AL",57961,2,118
13820,"Birmingham-Hoover, AL",Birmingham,01115,"St. Clair, AL",89512,1,40
13820,"Birmingham-Hoover, AL",Birmingham,01117,"Shelby, AL",217702,3,349
46220,"Tuscaloosa, AL","Tuscaloosa, AL",01125,"Tuscaloosa, AL",209355,7,1164
33660,"Mobile, AL","Mobile, AL",01129,"Washington, AL",16326,1,25
11260,"Anchorage, AK","Anchorage, AK",02020,"Anchorage Municipality, AK",288000,9,1219
21820,"Fairbanks, AK","Fairbanks, AK",02090,"Fairbanks North Star Borough, AK",96849,3,371
11260,"Anchorage, AK","Anchorage, AK",02170,"Matanuska-Susitna Borough, AK",108317,1,74
43420,"Sierra Vista-Douglas, AZ","Sierra Vista-Douglas, AZ",04003,"Cochise, AZ",125922,8,498
22380,"Flagstaff, AZ","Flagstaff, AZ",04005,"Coconino, AZ",143476,4,385
38060,"Phoenix-Mesa-Chandler, AZ",Phoenix,04013,"Maricopa, AZ",4485414,73,11076
29420,"Lake Havasu City-Kingman, AZ","Lake Havasu City-Kingman, AZ",04015,"Mohave, AZ",212181,5,665
46060,"Tucson, AZ",Tucson,04019,"Pima, AZ",1047279,21,3542
38060,"Phoenix-Mesa-Chandler, AZ",Phoenix,04021,"Pinal, AZ",462789,7,557
39150,"Prescott Valley-Prescott, AZ","Prescott Valley-Prescott, AZ",04025,"Yavapai, AZ",235099,5,409
49740,"Yuma, AZ","Yuma, AZ",04027,"Yuma, AZ",213787,3,487
22220,"Fayetteville-Springdale-Rogers, AR","Fayetteville-Springdale-Rogers, AR",05007,"Benton, AR",279141,6,566
38220,"Pine Bluff, AR","Pine Bluff, AR",05025,"Cleveland, AR",7956,0,0
27860,"Jonesboro, AR","Jonesboro, AR",05031,"Craighead, AR",110332,6,785
22900,"Fort Smith, AR-OK","Fort Smith, AR-OK",05033,"Crawford, AR",63257,1,103
32820,"Memphis, TN-MS-AR",Memphis,05035,"Crittenden, AR",47955,2,206
30780,"Little Rock-North Little Rock-Conway, AR",Little Rock,05045,"Faulkner, AR",126007,3,183
