MSA_Short_Name,Population,Hospitals,Beds,Confirmed,Deaths,New_Cases_Per_Bed,New_Cases_Per_Day_As_Text
NYC,19216182,226,62814,134398,3055,1.08646161683701,5467   5138   5238   8464   7973   8671   8345   8758  10887   9909  10646  13608  14765
Poughkeepsie,679158,11,1809,3679,45,0.929242675511332,160  133  169  150  194  228  204  260  213  263  357  546  473
"East Stroudsburg, PA",170271,2,312,484,11,0.746794871794872,12   2   6  16  31   8  29  47  54  42  43  76  87
Stamford,943332,8,2220,2824,86,0.721621621621622,62  114  162   61  145  156  337  200  425  116  146  584  108
"Greeley, CO",324492,1,300,379,16,0.683333333333333,13   0  37  20   0  22  51   0  75   0  38  36  50
"Kingston, NY",177573,3,325,290,4,0.575384615384615,0  17  30  13  20  35  13  44  17  15  18  23  27
New Orleans,1270530,53,5926,8571,315,0.558218022274722,256   164   251   331   306   390    87   298   852   793  2138   755  1278
"Albany, GA",146726,3,964,851,41,0.550829875518672,13   32   24   55   45   15   46   32  286   28   33   74   96
Detroit,4319629,58,12748,11626,476,0.475996234703483,249   393   422   468   647   841   648   806   916  1320  1152  1634  1221
"Barnstable Town, MA",212990,4,484,330,6,0.444214876033058,6  10  11  16  33  33  15  25  18  64  28  31  16
"Mount Vernon-Anacortes, WA",129205,3,205,161,4,0.404878048780488,0  12   3  30   0  13   8   2  20   7  15  10   8
"Pittsfield, MA",124944,4,436,253,8,0.334862385321101,3  11  34   2  32  14  32  11   9  12  30  27  13
Boston,4873019,94,15925,8620,123,0.298587127158556,82   287   444   391   594   685   457   572   825   787   923  1049  1002
"Ithaca, NY",102180,1,212,93,0,0.283018867924528,0   1   2   5   9  16   8  14   3   3   4   7   6
"Bellingham, WA",229247,2,330,199,9,0.275757575757576,34   0  16  22   6  10  14   0  23   0  36   7  17
"Springfield, MA",697382,15,2181,953,49,0.268684089867033,5   15   28   18   46  118   27   71  134  144  105  131   89
"Salem, OR",433903,5,511,198,5,0.262230919765166,10   2  11  17  30  12  17  16  21  10  13  16   0
"Yakima, WA",250873,4,528,289,7,0.257575757575758,0   9  22  14   5  16  58   7  14   0  63  16  49
"Flagstaff, AZ",143476,4,385,196,10,0.257142857142857,3   1   5   5  13  15   6   9  10  36  29  29  21
Allentown,844052,18,2994,1620,25,0.243486973947896,11   16   25   51   60   45   85  154  114  195  194  234  387
Indianapolis,2074537,45,6067,2440,61,0.239657161694412,0  103   88  101  231  153  165  201  233  282  283  193  277
