MSA_Short_Name,Population,Hospitals,Beds,Confirmed,Deaths,Growth_Classification,Exp_Daily_Growth,Linear_Daily_Growth,New_Cases_As_Text,CPB_April_2,CPB_April_3,CPB_April_4,CPB_April_5,CPB_April_6,CPB_April_7,CPB_April_8,CPB_April_9
Poughkeepsie,679158,11,1809,3679,45,Exponential,0.158843809440063,NaN,160  133  169  150  194  228  204  260  213  263  357  546  473,0.82808181315644,0.857379767827529,0.929242675511332,1.03316749585406,1.25207296849088,1.40630182421227,1.60330921776119,1.86489712981688
New Orleans,1270530,53,5926,8571,315,Exponential,0.24157036590944,NaN,256   164   251   331   306   390    87   298   852   793  2138   755  1278,0.351501856226797,0.452075599055012,0.558218022274722,0.876645291933851,0.94819439757003,1.11221734728316,1.39579811107152,1.81491234558
"East Stroudsburg, PA",170271,2,312,484,11,Tapering,NaN,7,12   2   6  16  31   8  29  47  54  42  43  76  87,0.483974358974359,0.618589743589744,0.746794871794872,0.865384615384615,1.05769230769231,1.23717948717949,1.47649572649573,1.67094017094017
NYC,19216182,226,62814,134398,3055,Exponential,0.119811119142169,NaN,5467   5138   5238   8464   7973   8671   8345   8758  10887   9909  10646  13608  14765,0.924220715127201,1.01050721176808,1.08646161683701,1.17255707326392,1.2544496449836,1.36257840608781,1.48088602525662,1.63509716186568
Stamford,943332,8,2220,2824,86,Tapering,NaN,10.7777777777778,62  114  162   61  145  156  337  200  425  116  146  584  108,0.557207207207207,0.720720720720721,0.721621621621622,0.714414414414414,0.95,0.933333333333333,0.998598598598598,0.987187187187187
"Greeley, CO",324492,1,300,379,16,Exponential,0.104141560782275,NaN,13   0  37  20   0  22  51   0  75   0  38  36  50,0.476666666666667,0.683333333333333,0.683333333333333,0.686666666666667,0.74,0.906666666666667,0.964898838454941,0.940165780625021
"Houma-Thibodaux, LA",208075,8,647,360,8,Exponential,0.333059125949512,NaN,7   1   3  16   4   7   5  20  29  46  95  32  73,0.0973724884080371,0.131375579598145,0.200927357032458,0.343122102009274,0.367851622874807,0.474497681607419,0.648997349832804,0.888310336908531
Detroit,4319629,58,12748,11626,476,Exponential,0.165573533908276,NaN,249   393   422   468   647   841   648   806   916  1320  1152  1634  1221,0.350957012864763,0.403278945716975,0.475996234703483,0.53326011923439,0.624725447128961,0.669752117979291,0.754781762254285,0.879952768546187
Allentown,844052,18,2994,1620,25,Exponential,0.276574881769704,NaN,11   16   25   51   60   45   85  154  114  195  194  234  387,0.149298597194389,0.183700734802939,0.243486973947896,0.299933199732799,0.361055444221777,0.470273881095524,0.604893556602178,0.767542536606493
"Flagstaff, AZ",143476,4,385,196,10,Exponential,0.247219128924647,NaN,3   1   5   5  13  15   6   9  10  36  29  29  21,0.148051948051948,0.166233766233766,0.257142857142857,0.319480519480519,0.381818181818182,0.402597402597403,0.489493374725275,0.630880230880231
"Albany, GA",146726,3,964,851,41,Decreasing,NaN,-15.8888888888889,13   32   24   55   45   15   46   32  286   28   33   74   96,0.271784232365145,0.554979253112033,0.550829875518672,0.560165975103734,0.579875518672199,0.632780082987552,0.654449054863993,0.627478100507146
"Kingston, NY",177573,3,325,290,4,Decreasing,NaN,-0.888888888888888,0  17  30  13  20  35  13  44  17  15  18  23  27,0.529230769230769,0.581538461538462,0.575384615384615,0.538461538461538,0.569230769230769,0.590769230769231,0.547350427350427,0.568888888888889
"Yakima, WA",250873,4,528,289,7,Rebounding,NaN,11.8888888888889,0   9  22  14   5  16  58   7  14   0  63  16  49,0.248106060606061,0.274621212121212,0.257575757575758,0.335227272727273,0.339015151515151,0.422348484848485,0.517887205387205,0.556397306397306
"Flint, MI",405813,4,1169,464,15,Exponential,0.258451732660457,NaN,9   11   12   17   28   19   17   23   35   64  100   73   42,0.11633875106929,0.13857998289136,0.183917878528657,0.259195893926433,0.307100085543199,0.319076133447391,0.405407702270703,0.519963348361295
Boston,4873019,94,15925,8620,123,Exponential,0.15409109946363,NaN,82   287   444   391   594   685   457   572   825   787   923  1049  1002,0.220533751962323,0.267189952904239,0.298587127158556,0.328665620094192,0.369984301412873,0.395604395604396,0.435997819615479,0.50356071659173
"Monroe, MI",150500,1,217,101,0,Exponential,0.198205540507548,NaN,1   5   6   3   7   6   4   7   4   9  21  16   6,0.179723502304147,0.193548387096774,0.211981566820276,0.28110599078341,0.341013824884793,0.336405529953917,0.401008108715495,0.493112203905997
"Hammond, LA",134758,10,501,131,2,Exponential,0.4,NaN,0   1   1   2   0   3   0   8   7   8   9  13  76,0.029940119760479,0.0439121756487026,0.0578842315369262,0.0738522954091816,0.0958083832335329,0.24750499001996,0.346107784431138,0.492534930139721
"Scranton--Wilkes-Barre, PA",553885,15,2399,799,11,Exponential,0.288359889152606,NaN,4   19    9   19   26   26   34   62   78   77  126  112  194,0.0829512296790329,0.113797415589829,0.137974155898291,0.186744476865361,0.225510629428929,0.295539808253439,0.380741788842406,0.490303081274646
"Barnstable Town, MA",212990,4,484,330,6,Decreasing,NaN,-3.55555555555555,6  10  11  16  33  33  15  25  18  64  28  31  16,0.307851239669421,0.332644628099174,0.444214876033058,0.479338842975207,0.510330578512397,0.475206611570248,0.443985307621671,0.442607897153352
"Bellingham, WA",229247,2,330,199,9,Rebounding,NaN,4.11111111111111,34   0  16  22   6  10  14   0  23   0  36   7  17,0.309090909090909,0.275757575757576,0.275757575757576,0.336363636363636,0.290909090909091,0.324242424242424,0.379461279461279,0.435016835016835
