msa,pop,MSA_FIPS,msa_short_name
"New York-Newark-Jersey City, NY-NJ-PA",19216182,35620,NYC
"Los Angeles-Long Beach-Anaheim, CA",13214799,31080,Los Angeles
"Chicago-Naperville-Elgin, IL-IN-WI",9458539,16980,Chicago
"Dallas-Fort Worth-Arlington, TX",7573136,19100,Dallas
"Houston-The Woodlands-Sugar Land, TX",7066141,26420,Houston
"Washington-Arlington-Alexandria, DC-VA-MD-WV",6280487,47900,DC
"Miami-Fort Lauderdale-Pompano Beach, FL",6166488,33100,Miami
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6102434,37980,Philadelphia
"Atlanta-Sandy Springs-Alpharetta, GA",6020364,12060,Atlanta
"Phoenix-Mesa-Chandler, AZ",4948203,38060,Phoenix
"Boston-Cambridge-Newton, MA-NH",4873019,14460,Boston
"San Francisco-Oakland-Berkeley, CA",4731803,41860,SF Bay Area
"Riverside-San Bernardino-Ontario, CA",4650631,40140,Riverside
"Detroit-Warren-Dearborn, MI",4319629,19820,Detroit
"Seattle-Tacoma-Bellevue, WA",3979845,42660,Seattle
"Minneapolis-St. Paul-Bloomington, MN-WI",3640043,33460,Minneapolis
"San Diego-Chula Vista-Carlsbad, CA",3338330,41740,San Diego
"Tampa-St. Petersburg-Clearwater, FL",3194831,45300,Tampa
"Denver-Aurora-Lakewood, CO",2967239,19740,Denver
"St. Louis, MO-IL",2803228,41180,St. Louis
"Baltimore-Columbia-Towson, MD",2800053,12580,Baltimore
"Charlotte-Concord-Gastonia, NC-SC",2636883,16740,Charlotte
"Orlando-Kissimmee-Sanford, FL",2608147,36740,Orlando
"San Antonio-New Braunfels, TX",2550960,41700,San Antonio
"Portland-Vancouver-Hillsboro, OR-WA",2492412,38900,"Portland, OR"
"Sacramento-Roseville-Folsom, CA",2363730,40900,Sacramento
"Pittsburgh, PA",2317600,38300,Pittsburgh
"Las Vegas-Henderson-Paradise, NV",2266715,29820,Las Vegas
"Austin-Round Rock-Georgetown, TX",2227083,12420,Austin
"Cincinnati, OH-KY-IN",2221208,17140,Cincinnati
"Kansas City, MO-KS",2157990,28140,Kansas City
"Columbus, OH",2122271,18140,Columbus
"Indianapolis-Carmel-Anderson, IN",2074537,26900,Indianapolis
"Cleveland-Elyria, OH",2048449,17460,Cleveland
"San Jose-Sunnyvale-Santa Clara, CA",1990660,41940,SF Bay Area
"Nashville-Davidson--Murfreesboro--Franklin, TN",1934317,34980,Nashville
"Virginia Beach-Norfolk-Newport News, VA-NC",1749725,47260,Virginia Beach
"Providence-Warwick, RI-MA",1624578,39300,Providence
"Milwaukee-Waukesha, WI",1575179,33340,Milwaukee
"Jacksonville, FL",1559514,27260,Jacksonville
"Oklahoma City, OK",1408950,36420,Oklahoma City
"Raleigh-Cary, NC",1390785,39580,Raleigh
"Richmond, VA",1370148,40060,Richmond
"Memphis, TN-MS-AR",1346045,32820,Memphis
"New Orleans-Metairie, LA",1270530,35380,New Orleans
"Louisville/Jefferson County, KY-IN",1265108,31140,Louisville
"Salt Lake City, UT",1232696,41620,Salt Lake City
"Hartford-East Hartford-Middletown, CT",1204877,25540,Hartford
