Country,State,state_clean,ignore
US,"Tempe, AZ",Arizona,
US,"Pinal County, AZ",Arizona,
US,"Maricopa County, AZ",Arizona,
US,"Washington, D.C.",DC,
US,"Orange, CA",California,
US,"Travis, CA",California,
US,"Berkeley, CA",California,
US,"San Mateo, CA",California,
US,"San Benito, CA",California,
US,"Los Angeles, CA",California,
US,"Santa Clara, CA",California,
US,"Yolo County, CA",California,
US,"Fresno County, CA",California,
US,"Madera County, CA",California,
US,"Orange County, CA",California,
US,"Placer County, CA",California,
US,"Shasta County, CA",California,
US,"Sonoma County, CA",California,
US,"Alameda County, CA",California,
US,"Humboldt County, CA",California,
US,"Riverside County, CA",California,
US,"San Diego County, CA",California,
US,"Sacramento County, CA",California,
US,"Santa Cruz County, CA",California,
US,"Santa Clara County, CA",California,
US,"Contra Costa County, CA",California,
US,"San Francisco County, CA",California,
US,"Denver County, CO",Colorado,
US,"Summit County, CO",Colorado,
US,"Douglas County, CO",Colorado,
US,"El Paso County, CO",Colorado,
US,"Fairfield County, CT",Connecticut,
US,"Sarasota, FL",Florida,
US,"Lee County, FL",Florida,
US,"Hillsborough, FL",Florida,
US,"Broward County, FL",Florida,
US,"Manatee County, FL",Florida,
US,"Volusia County, FL",Florida,
US,"Okaloosa County, FL",Florida,
US,"Charlotte County, FL",Florida,
US,"Santa Rosa County, FL",Florida,
US,"Cobb County, GA",Georgia,
US,"Polk County, GA",Georgia,
US,"Floyd County, GA",Georgia,
US,"Fulton County, GA",Georgia,
US,"Cherokee County, GA",Georgia,
US,"Honolulu County, HI",Hawaii,
US,"Johnson County, IA",Iowa,
US,"Chicago, IL",Illinois,
US,"Cook County, IL",Illinois,
US,"Marion County, IN",Indiana,
US,"Hendricks County, IN",Indiana,
US,"Johnson County, KS",Kansas,
US,"Fayette County, KY",Kentucky,
US,"Harrison County, KY",Kentucky,
US,"Jefferson County, KY",Kentucky,
US,"Jefferson Parish, LA",Louisiana,
US,"Boston, MA",Massachusetts,
US,"Norfolk County, MA",Massachusetts,
US,"Norwell County, MA",Massachusetts,
US,"Suffolk County, MA",Massachusetts,
US,"Plymouth County, MA",Massachusetts,
US,"Berkshire County, MA",Massachusetts,
US,"Middlesex County, MA",Massachusetts,
US,"Unknown Location, MA",Massachusetts,
US,"Harford County, MD",Maryland,
US,"Montgomery County, MD",Maryland,
US,"Carver County, MN",Minnesota,
US,"Ramsey County, MN",Minnesota,
US,"St. Louis County, MO",Missouri,
US,"Wake County, NC",North Carolina,
US,"Chatham County, NC",North Carolina,
US,"Ashland, NE",Nebraska,
US,"Douglas County, NE",Nebraska,
US,"Grafton County, NH",New Hampshire,
US,"Rockingham County, NH",New Hampshire,
US,"Bergen County, NJ",New Jersey,
US,"Hudson County, NJ",New Jersey,
US,"Clark County, NV",Nevada,
US,"Washoe County, NV",Nevada,
US,"Nassau County, NY",New York,
US,"New York City, NY",New York,
US,"Queens County, NY",New York,
US,"Ulster County, NY",New York,
US,"Suffolk County, NY",New York,
US,"New York County, NY",New York,
US,"Rockland County, NY",New York,
US,"Saratoga County, NY",New York,
US,"Westchester County, NY",New York,
US,"Tulsa County, OK",Oklahoma,
Canada,"London, ON",Ontario,
Canada,"Toronto, ON",Ontario,
US,"Portland, OR",Oregon,
US,"Umatilla, OR",Oregon,
US,"Marion County, OR",Oregon,
US,"Douglas County, OR",Oregon,
US,"Jackson County, OR",Oregon,
US,"Klamath County, OR",Oregon,
US,"Washington County, OR",Oregon,
US,"Wayne County, PA",Pennsylvania,
US,"Delaware County, PA",Pennsylvania,
US,"Montgomery County, PA",Pennsylvania,
Canada,"Montreal, QC",Quebec,
US,"Providence, RI",Rhode Island,
US,"Providence County, RI",Rhode Island,
US,"Virgin Islands, U.S.",US Virgin Islands,
